💰  GSC - MONTHLY BUDGET & MONEY SPLIT,,
This sheet auto-pulls from Daily Tracker. Update the month below.,,
Month:,,
,,
📥  INCOME,,
Total Jobs Income (from Daily Tracker),"111,450",
Monthly Target,"200,000",Target
Variance (Actual vs Target),"(88,550)",
,,
🔒  FIXED EXPENSES (Locked Every Month),,
Office Rent,"25,000",
Daily Float (Electricity + Small Expenses),"10,000",
Cleaning Supplies,"15,000",
Transport,"10,000",
TOTAL FIXED EXPENSES,"60,000",
,,
📊  VARIABLE EXPENSES (From Daily Tracker),,
Total Wages Paid,"2,400",
Supplies Used,"1,750",
Transport Used,-,
Other Costs,"3,600",
TOTAL VARIABLE EXPENSES,"7,750",
,,
💸  MONEY SPLIT — WHERE DOES THE REST GO?,,
Equipment Fund (10%),"11,145",Buy/replace equipment
Savings & Expansion (15%),"16,718",Separate savings account
Emergency Buffer (5%),"5,573",NEVER touch unless critical
🏆  Owner's Profit (Remainder),"10,265",
