Date,Client Name,Service Type,"Amount In
(KES)","Team
Members","Wages
(Auto)","Supplies
(KES)","Transport
(KES)","Other Costs
(KES)","Net Income
(KES)"
28/05/2026,EXPENSE - GSC Tool,Expense,-,,-,,,"3,000","(3,000)"
28/05/2026,EXPENSE - Bright Force,Expense,-,,-,"1,000",,,"(1,000)"
28/05/2026,EXPENSE - Tokens,Expense,-,,-,,,"3,072","(3,072)"
28/05/2026,EXPENSE - Omo/Jik,Expense,-,,-,400,,,(400)
28/05/2026,EXPENSE - Multipurpose Soap,Expense,-,,-,600,,,(600)
28/05/2026,EXPENSE - Lava (Insect Killer),Expense,-,,-,"1,000",,,"(1,000)"
30/05/2026,EXPENSE - Advance (Machine Lady),Expense,-,,"4,000",,,,"(4,000)"
30/05/2026,EXPENSE - Transport,Expense,-,,-,,"1,000",,"(1,000)"
19/05/2026,EXPENSE — Token,Expense,-,,,,,"1,000","(1,000)"
20/05/2026,EXPENSE — Token,Expense,-,,,,,"1,000","(1,000)"
26/05/2026,EXPENSE — Token,Expense,-,,,,,800,(800)
26/05/2026,EXPENSE — Water,Expense,-,,,,,900,(900)
26/05/2026,EXPENSE — Rust Off (Toilet Cleaner),Expense,-,,,"1,000",,,"(1,000)"
27/05/2026,EXPENSE — Token,Expense,-,,,,,800,(800)
16/05/2026,EXPENSE — Wifi,Expense,-,,-,,,"2,000","(2,000)"
16/05/2026,EXPENSE — Tokens,Expense,-,,-,,,600,(600)
18/05/2026,EXPENSE — Labour,Expense,-,,"2,400",,,,"(2,400)"
18/05/2026,EXPENSE — Token,Expense,-,,-,,,"1,000","(1,000)"
18/05/2026,EXPENSE — Detergents,Expense,-,,-,750,,,(750)
18/05/2026,EXPENSE — Lava (Insect),Expense,-,,-,"1,000",,,"(1,000)"
